Vernier Format 2
1000g.txt 6/30/2018 4:54:49
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.262	-0.061	0.177	
0.03	0.260	-0.060	0.415	
0.07	0.257	-0.045	0.768	
0.10	0.256	-0.008	1.090	
0.13	0.257	0.035	1.200	
0.17	0.259	0.078	1.079	
0.20	0.262	0.111	0.800	
0.23	0.266	0.133	0.437	
0.27	0.271	0.143	-0.028	
0.30	0.276	0.134	-0.563	
0.33	0.281	0.102	-0.992	
0.37	0.283	0.062	-1.230	
0.40	0.285	0.018	-1.347	
0.43	0.285	-0.031	-1.351	
0.47	0.283	-0.077	-1.175	
0.50	0.279	-0.113	-0.845	
0.53	0.275	-0.136	-0.441	
0.57	0.270	-0.142	-0.046	
0.60	0.265	-0.135	0.273	
0.63	0.261	-0.129	0.727	
0.67	0.256	-0.093	1.323	
0.70	0.254	-0.031	1.617	
0.73	0.254	0.024	1.594	
0.77	0.255	0.084	1.288	
0.80	0.261	0.112	0.880	
0.83	0.263	0.137	0.566	
0.87	0.270	0.158	0.031	
0.90	0.275	0.141	-0.543	
0.93	0.279	0.115	-0.926	
0.97	0.282	0.077	-1.195	
1.00	0.285	0.032	-1.343	
1.03	0.285	-0.015	-1.394	
1.07	0.283	-0.064	-1.310	
1.10	0.280	-0.107	-1.038	
1.13	0.276	-0.144	-0.462	
1.17	0.269	-0.140	0.167	
1.20	0.267	-0.119	0.453	
1.23	0.262	-0.108	0.657	
1.27	0.259	-0.079	0.935	
1.30	0.257	-0.042	1.136	
1.33	0.256	-0.007	1.392	
1.37	0.255	0.054	1.485	
1.40	0.260	0.109	1.080	
1.43	0.264	0.128	0.555	
1.47	0.268	0.141	0.129	
1.50	0.273	0.138	-0.301	
1.53	0.278	0.121	-0.708	
1.57	0.282	0.090	-1.070	
1.60	0.284	0.046	-1.315	
1.63	0.285	-0.003	-1.374	
1.67	0.284	-0.050	-1.265	
1.70	0.282	-0.091	-1.018	
1.73	0.278	-0.121	-0.637	
1.77	0.273	-0.135	-0.186	
1.80	0.268	-0.133	0.261	
1.83	0.264	-0.117	0.671	
1.87	0.260	-0.086	0.996	
1.90	0.258	-0.047	1.181	
1.93	0.257	-0.005	1.262	
1.97	0.257	0.040	1.235	
2.00	0.260	0.082	1.043	
2.03	0.263	0.112	0.735	
2.07	0.267	0.133	0.346	
2.10	0.272	0.138	-0.123	
2.13	0.277	0.124	-0.577	
2.17	0.281	0.098	-0.959	
2.20	0.284	0.058	-1.244	
2.23	0.285	0.010	-1.363	
2.27	0.285	-0.038	-1.291	
2.30	0.282	-0.080	-1.055	
2.33	0.279	-0.111	-0.722	
2.37	0.275	-0.130	-0.329	
2.40	0.270	-0.133	0.080	
2.43	0.265	-0.125	0.508	
2.47	0.261	-0.099	0.917	
2.50	0.258	-0.059	1.165	
2.53	0.257	-0.017	1.255	
2.57	0.257	0.027	1.229	
2.60	0.259	0.068	1.090	
2.63	0.262	0.103	0.833	
2.67	0.266	0.126	0.466	
2.70	0.271	0.136	0.035	
2.73	0.276	0.130	-0.444	
2.77	0.280	0.104	-0.871	
2.80	0.283	0.068	-1.171	
2.83	0.285	0.023	-1.335	
2.87	0.285	-0.027	-1.295	
2.90	0.283	-0.068	-1.088	
2.93	0.280	-0.100	-0.813	
2.97	0.276	-0.124	-0.475	
3.00	0.271	-0.134	-0.060	
3.03	0.266	-0.128	0.381	
3.07	0.262	-0.108	0.786	
3.10	0.259	-0.074	1.107	
3.13	0.257	-0.029	1.239	
3.17	0.257	0.015	1.164	
3.20	0.258	0.051	1.014	
3.23	0.261	0.077	0.977	
3.27	0.263	0.119	0.816	
3.30	0.269	0.147	0.234	
3.33	0.274	0.135	-0.370	
3.37	0.278	0.113	-0.761	
3.40	0.281	0.083	-1.068	
3.43	0.284	0.042	-1.304	
3.47	0.285	-0.009	-1.374	
3.50	0.283	-0.057	-1.217	
3.53	0.280	-0.094	-0.910	
3.57	0.277	-0.118	-0.560	
3.60	0.272	-0.131	-0.208	
3.63	0.268	-0.134	0.198	
3.67	0.263	-0.117	0.574	
3.70	0.260	-0.098	0.995	
3.73	0.255	-0.049	1.336	
3.77	0.257	-0.000	1.409	
3.80	0.255	0.048	1.351	
3.83	0.260	0.099	1.004	
3.87	0.263	0.118	0.547	
3.90	0.268	0.131	0.172	
3.93	0.272	0.130	-0.222	
3.97	0.277	0.116	-0.591	
4.00	0.280	0.089	-0.914	
4.03	0.283	0.054	-1.174	
4.07	0.284	0.008	-1.307	
4.10	0.283	-0.039	-1.253	
4.13	0.281	-0.079	-1.054	
4.17	0.278	-0.112	-0.729	
4.20	0.274	-0.130	-0.342	
4.23	0.269	-0.134	0.031	
4.27	0.264	-0.125	0.353	
4.30	0.261	-0.114	0.764	
4.33	0.256	-0.079	1.260	
4.37	0.255	-0.021	1.498	
4.40	0.255	0.030	1.460	
4.43	0.257	0.077	1.298	
4.47	0.260	0.124	0.891	
4.50	0.266	0.144	0.279	
4.53	0.270	0.137	-0.208	
4.57	0.275	0.125	-0.544	
4.60	0.279	0.102	-0.869	
4.63	0.282	0.066	-1.139	
4.67	0.283	0.021	-1.270	
4.70	0.283	-0.023	-1.253	
4.73	0.282	-0.065	-1.108	
4.77	0.279	-0.101	-0.810	
4.80	0.275	-0.122	-0.413	
4.83	0.270	-0.127	-0.041	
4.87	0.266	-0.123	0.281	
4.90	0.262	-0.109	0.616	
4.93	0.259	-0.085	1.028	
4.97	0.256	-0.043	1.454	
5.00	0.255	0.026	1.478	
5.03	0.258	0.065	1.202	
5.07	0.259	0.101	0.964	
5.10	0.265	0.137	0.490	
5.13	0.270	0.137	-0.054	
5.17	0.274	0.128	-0.444	
5.20	0.278	0.106	-0.787	
5.23	0.282	0.075	-1.073	
5.27	0.284	0.032	-1.257	
