Vernier Format 2
489.6g.txt 6/30/2018 4:49:47
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.275	-0.180	0.296	
0.03	0.269	-0.178	0.618	
0.07	0.262	-0.153	1.070	
0.10	0.258	-0.104	1.448	
0.13	0.255	-0.050	1.630	
0.17	0.255	0.009	1.648	
0.20	0.256	0.064	1.484	
0.23	0.259	0.112	1.149	
0.27	0.264	0.151	0.520	
0.30	0.271	0.148	-0.190	
0.33	0.274	0.131	-0.735	
0.37	0.280	0.103	-1.333	
0.40	0.282	0.039	-1.751	
0.43	0.282	-0.026	-1.768	
0.47	0.280	-0.093	-1.360	
0.50	0.275	-0.121	-0.760	
0.53	0.272	-0.132	-0.386	
0.57	0.267	-0.154	0.159	
0.60	0.260	-0.133	0.961	
0.63	0.257	-0.079	1.480	
0.67	0.255	-0.023	1.646	
0.70	0.255	0.035	1.605	
0.73	0.257	0.088	1.381	
0.77	0.261	0.131	0.970	
0.80	0.266	0.162	0.284	
0.83	0.273	0.157	-0.591	
0.87	0.278	0.114	-1.240	
0.90	0.281	0.063	-1.534	
0.93	0.282	0.007	-1.607	
0.97	0.281	-0.049	-1.483	
1.00	0.279	-0.097	-1.180	
1.03	0.274	-0.131	-0.728	
1.07	0.269	-0.146	-0.191	
1.10	0.264	-0.149	0.489	
1.13	0.258	-0.117	1.228	
1.17	0.256	-0.057	1.645	
1.20	0.255	0.003	1.704	
1.23	0.256	0.061	1.554	
1.27	0.259	0.110	1.232	
1.30	0.263	0.152	0.633	
1.33	0.270	0.161	-0.208	
1.37	0.275	0.133	-0.912	
1.40	0.279	0.092	-1.360	
1.43	0.282	0.037	-1.588	
1.47	0.282	-0.021	-1.567	
1.50	0.280	-0.073	-1.335	
1.53	0.277	-0.114	-0.940	
1.57	0.272	-0.138	-0.429	
1.60	0.267	-0.143	0.128	
1.63	0.262	-0.133	0.765	
1.67	0.257	-0.093	1.400	
1.70	0.255	-0.029	1.698	
1.73	0.256	0.031	1.620	
1.77	0.258	0.083	1.330	
1.80	0.261	0.122	0.911	
1.83	0.266	0.152	0.261	
1.87	0.273	0.141	-0.456	
1.90	0.276	0.114	-0.977	
1.93	0.281	0.077	-1.476	
1.97	0.282	0.011	-1.768	
2.00	0.281	-0.051	-1.683	
2.03	0.279	-0.112	-1.223	
2.07	0.273	-0.144	-0.429	
2.10	0.268	-0.131	0.138	
2.13	0.265	-0.127	0.490	
2.17	0.259	-0.108	1.047	
2.20	0.256	-0.054	1.484	
2.23	0.255	0.002	1.599	
2.27	0.256	0.057	1.510	
2.30	0.259	0.107	1.211	
2.33	0.263	0.147	0.617	
2.37	0.270	0.156	-0.210	
2.40	0.275	0.128	-0.895	
2.43	0.279	0.088	-1.312	
2.47	0.281	0.035	-1.513	
2.50	0.281	-0.019	-1.491	
2.53	0.280	-0.069	-1.285	
2.57	0.276	-0.110	-0.901	
2.60	0.272	-0.132	-0.403	
2.63	0.267	-0.136	0.126	
2.67	0.263	-0.129	0.801	
2.70	0.257	-0.086	1.508	
2.73	0.256	-0.010	1.678	
2.77	0.258	0.043	1.329	
2.80	0.260	0.069	1.124	
2.83	0.261	0.116	0.911	
2.87	0.268	0.147	0.247	
2.90	0.273	0.134	-0.472	
2.93	0.277	0.108	-1.003	
2.97	0.280	0.063	-1.371	
3.00	0.281	0.011	-1.505	
3.03	0.281	-0.042	-1.433	
3.07	0.279	-0.091	-1.148	
3.10	0.274	-0.124	-0.676	
3.13	0.270	-0.137	-0.128	
3.17	0.265	-0.137	0.548	
3.20	0.259	-0.097	1.109	
3.23	0.259	-0.055	1.414	
3.27	0.255	0.000	1.564	
3.30	0.259	0.056	1.433	
3.33	0.259	0.100	1.114	
3.37	0.265	0.139	0.522	
3.40	0.270	0.137	-0.147	
3.43	0.275	0.125	-0.696	
3.47	0.279	0.090	-1.197	
3.50	0.281	0.040	-1.511	
3.53	0.282	-0.016	-1.589	
3.57	0.280	-0.072	-1.402	
3.60	0.277	-0.123	-0.836	
3.63	0.270	-0.130	-0.184	
3.67	0.268	-0.121	0.142	
3.70	0.263	-0.126	0.586	
3.73	0.258	-0.092	1.242	
3.77	0.256	-0.032	1.585	
3.80	0.256	0.025	1.572	
3.83	0.258	0.076	1.356	
3.87	0.261	0.118	0.994	
3.90	0.266	0.151	0.366	
3.93	0.273	0.150	-0.474	
3.97	0.277	0.112	-1.112	
4.00	0.280	0.066	-1.438	
4.03	0.282	0.012	-1.548	
4.07	0.281	-0.044	-1.413	
4.10	0.278	-0.088	-1.089	
4.13	0.275	-0.119	-0.655	
4.17	0.270	-0.133	-0.152	
4.20	0.265	-0.128	0.337	
4.23	0.261	-0.113	0.881	
4.27	0.257	-0.071	1.438	
4.30	0.256	-0.007	1.678	
4.33	0.257	0.052	1.553	
4.37	0.260	0.100	1.226	
4.40	0.263	0.141	0.645	
4.43	0.270	0.151	-0.152	
4.47	0.275	0.126	-0.815	
4.50	0.279	0.088	-1.226	
4.53	0.281	0.039	-1.445	
4.57	0.281	-0.013	-1.466	
4.60	0.280	-0.064	-1.276	
4.63	0.277	-0.103	-0.906	
4.67	0.273	-0.126	-0.458	
4.70	0.268	-0.134	0.025	
4.73	0.263	-0.129	0.637	
4.77	0.258	-0.094	1.280	
4.80	0.256	-0.033	1.609	
4.83	0.256	0.023	1.615	
4.87	0.258	0.077	1.433	
4.90	0.261	0.129	0.898	
4.93	0.268	0.146	0.103	
4.97	0.272	0.129	-0.521	
5.00	0.276	0.105	-0.941	
5.03	0.280	0.066	-1.279	
5.07	0.281	0.015	-1.442	
5.10	0.281	-0.037	-1.364	
5.13	0.278	-0.082	-1.075	
5.17	0.275	-0.112	-0.665	
5.20	0.270	-0.127	-0.195	
5.23	0.266	-0.125	0.319	
5.27	0.262	-0.110	0.931	
