Vernier Format 2
.4.txt 1/28/2019 20:15:26
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.501	0.033	-0.476	
0.03	0.503	0.016	-0.430	
0.07	0.503	-0.001	-0.313	
0.10	0.502	-0.006	-0.159	
0.13	0.502	-0.008	-0.102	
0.17	0.502	-0.010	-0.122	
0.20	0.502	-0.013	-0.199	
0.23	0.501	-0.029	-0.123	
0.27	0.499	-0.028	0.129	
0.30	0.499	-0.014	0.220	
0.33	0.499	-0.009	0.184	
0.37	0.499	-0.005	0.201	
0.40	0.498	0.002	0.244	
0.43	0.498	0.017	0.132	
0.47	0.500	0.016	-0.110	
0.50	0.500	0.003	-0.180	
0.53	0.500	-0.001	-0.093	
0.57	0.500	-0.002	-0.011	
0.60	0.499	-0.000	0.030	
0.63	0.500	0.001	0.026	
0.67	0.500	0.001	0.028	
0.70	0.500	0.003	0.042	
0.73	0.500	0.005	0.042	
0.77	0.500	0.006	0.040	
0.80	0.500	0.007	0.042	
0.83	0.501	0.008	0.048	
0.87	0.501	0.010	0.066	
0.90	0.501	0.014	0.035	
0.93	0.502	0.013	-0.018	
0.97	0.502	0.011	-0.022	
1.00	0.502	0.011	-0.010	
1.03	0.503	0.012	-0.017	
1.07	0.503	0.010	-0.033	
1.10	0.503	0.008	-0.026	
1.13	0.504	0.008	-0.008	
1.17	0.504	0.008	0.002	
1.20	0.504	0.009	-0.012	
1.23	0.505	0.008	-0.034	
1.27	0.505	0.006	-0.034	
1.30	0.505	0.005	-0.030	
1.33	0.505	0.004	-0.038	
1.37	0.505	0.003	-0.046	
1.40	0.505	0.001	-0.039	
1.43	0.505	0.000	-0.031	
1.47	0.505	-0.001	-0.039	
1.50	0.505	-0.003	-0.049	
1.53	0.505	-0.005	-0.044	
1.57	0.505	-0.006	-0.032	
1.60	0.505	-0.007	-0.017	
1.63	0.504	-0.007	-0.002	
1.67	0.504	-0.005	-0.027	
1.70	0.504	-0.009	-0.045	
1.73	0.504	-0.010	-0.030	
1.77	0.504	-0.010	-0.022	
1.80	0.503	-0.011	-0.024	
1.83	0.503	-0.012	-0.023	
1.87	0.502	-0.013	-0.011	
1.90	0.502	-0.013	-0.003	
1.93	0.501	-0.013	0.004	
1.97	0.501	-0.013	0.015	
2.00	0.500	-0.012	0.034	
2.03	0.500	-0.010	0.045	
2.07	0.500	-0.008	0.038	
2.10	0.500	-0.008	0.027	
2.13	0.499	-0.007	0.028	
2.17	0.499	-0.006	0.028	
2.20	0.499	-0.005	0.028	
2.23	0.499	-0.004	0.044	
2.27	0.499	-0.002	0.067	
2.30	0.499	0.000	0.078	
2.33	0.499	0.003	0.075	
2.37	0.499	0.007	0.031	
2.40	0.499	0.005	0.002	
2.43	0.499	0.005	0.013	
2.47	0.500	0.006	0.002	
2.50	0.500	0.006	-0.004	
2.53	0.500	0.005	0.009	
2.57	0.500	0.006	0.031	
2.60	0.500	0.008	0.048	
2.63	0.500	0.010	0.044	
2.67	0.501	0.011	0.034	
2.70	0.501	0.012	0.019	
2.73	0.502	0.012	-0.004	
2.77	0.502	0.011	-0.015	
2.80	0.502	0.012	-0.029	
2.83	0.503	0.010	-0.049	
2.87	0.503	0.007	-0.034	
2.90	0.503	0.007	-0.012	
2.93	0.504	0.007	-0.014	
2.97	0.504	0.006	-0.016	
3.00	0.504	0.006	-0.028	
3.03	0.504	0.005	-0.042	
3.07	0.504	0.002	-0.020	
3.10	0.504	0.003	0.005	
3.13	0.505	0.005	-0.029	
3.17	0.505	0.001	-0.081	
3.20	0.505	-0.001	-0.107	
3.23	0.505	-0.005	-0.118	
3.27	0.505	-0.016	0.040	
3.30	0.503	-0.003	0.170	
3.33	0.504	0.009	-0.058	
3.37	0.504	-0.006	-0.265	
3.40	0.504	-0.023	-0.090	
3.43	0.502	-0.019	0.236	
3.47	0.502	0.007	0.209	
3.50	0.504	0.006	-0.094	
3.53	0.503	-0.015	-0.050	
3.57	0.501	-0.003	0.122	
3.60	0.503	0.009	-0.053	
3.63	0.503	-0.006	-0.213	
3.67	0.502	-0.019	-0.062	
3.70	0.500	-0.008	0.041	
3.73	0.502	-0.001	-0.218	
3.77	0.502	-0.032	-0.238	
3.80	0.499	-0.032	0.126	
3.83	0.499	-0.015	0.279	
3.87	0.498	-0.007	0.242	
3.90	0.499	0.003	0.130	
3.93	0.499	0.001	0.042	
3.97	0.499	0.002	0.052	
4.00	0.499	0.005	0.062	
4.03	0.499	0.008	0.030	
4.07	0.499	0.007	-0.000	
4.10	0.499	0.007	-0.015	
4.13	0.500	0.006	-0.042	
4.17	0.500	0.003	-0.038	
4.20	0.500	0.002	0.008	
4.23	0.500	0.005	0.040	
4.27	0.500	0.006	0.027	
4.30	0.500	0.006	0.014	
4.33	0.501	0.007	0.005	
4.37	0.501	0.007	-0.014	
4.40	0.501	0.006	-0.020	
4.43	0.501	0.005	-0.015	
4.47	0.502	0.005	-0.018	
4.50	0.502	0.004	-0.029	
4.53	0.502	0.003	-0.037	
4.57	0.502	0.001	-0.029	
4.60	0.502	0.002	-0.043	
4.63	0.502	-0.002	-0.038	
4.67	0.502	-0.002	-0.001	
4.70	0.502	-0.000	-0.016	
4.73	0.502	-0.003	-0.027	
4.77	0.502	-0.003	-0.018	
4.80	0.502	-0.004	-0.023	
4.83	0.501	-0.005	-0.006	
4.87	0.501	-0.004	0.003	
4.90	0.501	-0.004	-0.020	
4.93	0.501	-0.006	-0.024	
4.97	0.501	-0.006	-0.022	
5.00	0.501	-0.006	-0.041	
5.03	0.500	-0.009	-0.041	
5.07	0.500	-0.010	-0.018	
5.10	0.500	-0.010	0.001	
5.13	0.499	-0.010	0.019	
5.17	0.499	-0.009	0.028	
5.20	0.499	-0.009	0.052	
5.23	0.498	-0.005	0.077	
5.27	0.498	-0.002	0.071	
