Vernier Format 2
2.txt 1/28/2019 19:58:27
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.501	-0.007	0.060	
0.03	0.501	-0.004	0.031	
0.07	0.501	-0.005	0.008	
0.10	0.500	-0.005	0.008	
0.13	0.500	-0.004	-0.000	
0.17	0.500	-0.005	0.000	
0.20	0.500	-0.005	0.022	
0.23	0.500	-0.004	0.048	
0.27	0.500	0.000	0.033	
0.30	0.500	-0.000	-0.007	
0.33	0.500	-0.002	-0.014	
0.37	0.500	-0.002	-0.001	
0.40	0.500	-0.001	-0.000	
0.43	0.500	-0.002	-0.000	
0.47	0.499	-0.002	0.016	
0.50	0.500	-0.001	0.022	
0.53	0.499	0.000	0.017	
0.57	0.500	0.000	0.012	
0.60	0.499	0.001	-0.002	
0.63	0.500	0.000	-0.011	
0.67	0.499	-0.001	0.012	
0.70	0.500	0.001	0.023	
0.73	0.500	0.002	0.011	
0.77	0.500	0.001	0.017	
0.80	0.500	0.003	0.033	
0.83	0.500	0.004	0.024	
0.87	0.500	0.004	-0.003	
0.90	0.500	0.006	-0.066	
0.93	0.501	0.001	-0.114	
0.97	0.500	-0.011	0.055	
1.00	0.499	0.003	0.235	
1.03	0.501	0.018	0.073	
1.07	0.501	0.009	-0.113	
1.10	0.501	0.003	-0.101	
1.13	0.501	0.001	-0.039	
1.17	0.501	0.002	-0.005	
1.20	0.501	0.002	-0.014	
1.23	0.501	0.001	-0.018	
1.27	0.501	0.000	-0.010	
1.30	0.501	0.000	-0.005	
1.33	0.501	0.000	-0.009	
1.37	0.501	0.000	-0.036	
1.40	0.501	-0.002	-0.076	
1.43	0.501	-0.005	-0.101	
1.47	0.501	-0.015	0.015	
1.50	0.499	-0.003	0.101	
1.53	0.501	0.006	-0.149	
1.57	0.501	-0.020	-0.226	
1.60	0.499	-0.023	0.060	
1.63	0.499	-0.009	0.221	
1.67	0.499	-0.003	0.228	
1.70	0.499	0.004	0.235	
1.73	0.499	0.017	0.111	
1.77	0.500	0.016	-0.129	
1.80	0.500	0.002	-0.186	
1.83	0.500	-0.002	-0.094	
1.87	0.500	-0.003	-0.027	
1.90	0.500	-0.002	0.005	
1.93	0.500	-0.001	-0.005	
1.97	0.500	-0.002	-0.039	
2.00	0.500	-0.004	-0.065	
2.03	0.500	-0.006	-0.076	
2.07	0.500	-0.016	0.093	
2.10	0.498	-0.001	0.273	
2.13	0.499	0.016	0.078	
2.17	0.500	0.007	-0.209	
2.20	0.500	-0.005	-0.303	
2.23	0.500	-0.020	-0.160	
2.27	0.498	-0.020	0.126	
2.30	0.498	-0.005	0.230	
2.33	0.498	0.002	0.148	
2.37	0.498	0.003	0.098	
2.40	0.498	0.004	0.148	
2.43	0.498	0.012	0.184	
2.47	0.499	0.025	-0.012	
2.50	0.500	0.018	-0.344	
2.53	0.501	-0.012	-0.294	
2.57	0.499	-0.016	0.126	
2.60	0.499	0.004	0.364	
2.63	0.499	0.023	0.211	
2.67	0.501	0.022	-0.088	
2.70	0.501	0.009	-0.178	
2.73	0.501	0.004	-0.089	
2.77	0.501	0.004	-0.010	
2.80	0.501	0.007	-0.009	
2.83	0.502	0.004	-0.038	
2.87	0.502	0.003	-0.033	
2.90	0.502	0.002	-0.032	
2.93	0.502	0.001	-0.025	
2.97	0.502	0.000	-0.017	
3.00	0.502	-0.000	-0.019	
3.03	0.502	-0.001	-0.030	
3.07	0.502	-0.002	-0.034	
3.10	0.502	-0.004	-0.017	
3.13	0.501	-0.003	-0.014	
3.17	0.502	-0.003	-0.061	
3.20	0.501	-0.006	-0.138	
3.23	0.501	-0.011	-0.219	
3.27	0.501	-0.026	-0.138	
3.30	0.499	-0.027	0.126	
3.33	0.499	-0.013	0.281	
3.37	0.499	-0.004	0.299	
3.40	0.498	0.006	0.297	
3.43	0.499	0.022	0.111	
3.47	0.500	0.017	-0.165	
3.50	0.500	0.003	-0.238	
3.53	0.500	-0.002	-0.193	
3.57	0.500	-0.006	-0.218	
3.60	0.500	-0.021	-0.130	
3.63	0.498	-0.022	0.132	
3.67	0.498	-0.006	0.262	
3.70	0.498	0.001	0.241	
3.73	0.498	0.007	0.243	
3.77	0.498	0.021	0.139	
3.80	0.500	0.022	-0.102	
3.83	0.500	0.008	-0.166	
3.87	0.500	0.005	-0.061	
3.90	0.500	0.006	-0.007	
3.93	0.501	0.007	-0.014	
3.97	0.501	0.005	-0.024	
4.00	0.501	0.004	-0.010	
4.03	0.501	0.005	-0.013	
4.07	0.501	0.007	-0.113	
4.10	0.502	-0.001	-0.217	
4.13	0.502	-0.017	-0.048	
4.17	0.500	-0.014	0.340	
4.20	0.500	0.018	0.372	
4.23	0.502	0.026	0.002	
4.27	0.502	0.010	-0.185	
4.30	0.502	0.005	-0.126	
4.33	0.502	0.003	-0.047	
4.37	0.502	0.003	-0.003	
4.40	0.502	0.004	-0.015	
4.43	0.503	0.003	-0.067	
4.47	0.503	0.001	-0.145	
4.50	0.503	-0.006	-0.225	
4.53	0.503	-0.020	-0.127	
4.57	0.501	-0.020	0.134	
4.60	0.501	-0.006	0.270	
4.63	0.501	0.004	0.230	
4.67	0.501	0.007	0.195	
4.70	0.501	0.019	0.087	
4.73	0.503	0.018	-0.143	
4.77	0.503	0.004	-0.214	
4.80	0.503	-0.002	-0.134	
4.83	0.502	-0.004	-0.056	
4.87	0.502	-0.004	0.002	
4.90	0.502	-0.003	0.016	
4.93	0.502	-0.003	0.006	
4.97	0.502	-0.003	-0.007	
5.00	0.502	-0.003	-0.021	
5.03	0.502	-0.005	-0.022	
5.07	0.502	-0.005	-0.013	
5.10	0.501	-0.005	-0.013	
5.13	0.501	-0.005	-0.044	
5.17	0.501	-0.007	-0.106	
5.20	0.501	-0.011	-0.169	
5.23	0.501	-0.025	-0.038	
