Vernier Format 2
3.4.txt 1/28/2019 20:12:0
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.502	0.001	-0.097	
0.03	0.502	-0.004	-0.057	
0.07	0.502	-0.004	-0.015	
0.10	0.502	-0.004	-0.005	
0.13	0.502	-0.004	-0.027	
0.17	0.502	-0.004	-0.082	
0.20	0.501	-0.008	-0.153	
0.23	0.502	-0.021	-0.046	
0.27	0.499	-0.018	0.243	
0.30	0.500	0.007	0.235	
0.33	0.501	0.003	0.062	
0.37	0.499	0.004	0.039	
0.40	0.501	0.011	-0.096	
0.43	0.501	-0.009	-0.058	
0.47	0.499	0.002	0.110	
0.50	0.501	0.012	-0.026	
0.53	0.501	-0.007	0.011	
0.57	0.500	0.006	0.172	
0.60	0.502	0.017	0.021	
0.63	0.502	0.006	-0.094	
0.67	0.502	0.004	-0.056	
0.70	0.502	0.004	-0.025	
0.73	0.502	0.003	-0.004	
0.77	0.502	0.003	0.013	
0.80	0.502	0.005	0.014	
0.83	0.502	0.005	-0.004	
0.87	0.503	0.004	-0.025	
0.90	0.503	0.003	-0.032	
0.93	0.503	0.001	-0.011	
0.97	0.503	0.002	0.006	
1.00	0.503	0.002	0.002	
1.03	0.503	0.002	-0.008	
1.07	0.503	0.002	-0.022	
1.10	0.503	0.001	-0.023	
1.13	0.503	0.000	-0.015	
1.17	0.503	-0.000	-0.014	
1.20	0.503	-0.001	-0.018	
1.23	0.503	-0.002	-0.005	
1.27	0.503	-0.002	0.021	
1.30	0.503	0.000	0.028	
1.33	0.503	0.002	-0.012	
1.37	0.503	-0.001	-0.041	
1.40	0.503	-0.002	-0.029	
1.43	0.503	-0.003	-0.021	
1.47	0.503	-0.003	-0.021	
1.50	0.503	-0.004	-0.015	
1.53	0.502	-0.005	-0.000	
1.57	0.502	-0.004	-0.004	
1.60	0.502	-0.005	-0.012	
1.63	0.502	-0.005	-0.006	
1.67	0.502	-0.005	0.001	
1.70	0.502	-0.005	0.010	
1.73	0.501	-0.005	0.019	
1.77	0.501	-0.003	0.015	
1.80	0.501	-0.003	0.001	
1.83	0.501	-0.004	0.005	
1.87	0.501	-0.003	0.016	
1.90	0.501	-0.003	0.019	
1.93	0.501	-0.002	0.025	
1.97	0.501	-0.001	0.023	
2.00	0.501	-0.000	0.012	
2.03	0.501	0.000	0.006	
2.07	0.501	0.000	0.012	
2.10	0.501	0.000	0.026	
2.13	0.501	0.001	0.044	
2.17	0.501	0.005	0.022	
2.20	0.501	0.003	-0.010	
2.23	0.501	0.003	-0.006	
2.27	0.501	0.003	0.005	
2.30	0.501	0.003	0.017	
2.33	0.502	0.004	0.011	
2.37	0.502	0.004	-0.008	
2.40	0.502	0.003	-0.011	
2.43	0.502	0.003	0.001	
2.47	0.502	0.004	-0.001	
2.50	0.502	0.003	-0.005	
2.53	0.502	0.003	0.003	
2.57	0.502	0.004	-0.004	
2.60	0.503	0.003	-0.016	
2.63	0.502	0.003	-0.018	
2.67	0.503	0.002	-0.022	
2.70	0.503	0.001	-0.016	
2.73	0.503	0.001	-0.004	
2.77	0.503	0.001	-0.011	
2.80	0.503	0.000	-0.021	
2.83	0.503	-0.001	-0.001	
2.87	0.503	-0.000	0.018	
2.90	0.503	0.001	0.017	
2.93	0.503	0.002	-0.019	
2.97	0.503	-0.001	-0.043	
3.00	0.503	-0.002	-0.026	
3.03	0.503	-0.003	-0.015	
3.07	0.502	-0.003	-0.013	
3.10	0.503	-0.003	-0.022	
3.13	0.502	-0.005	-0.018	
3.17	0.502	-0.005	-0.001	
3.20	0.502	-0.005	0.014	
3.23	0.502	-0.003	0.010	
3.27	0.502	-0.003	-0.010	
3.30	0.502	-0.005	-0.014	
3.33	0.501	-0.005	0.001	
3.37	0.501	-0.005	0.018	
3.40	0.501	-0.003	0.020	
3.43	0.501	-0.003	0.003	
3.47	0.501	-0.003	-0.036	
3.50	0.501	-0.004	-0.103	
3.53	0.501	-0.008	-0.176	
3.57	0.501	-0.021	-0.098	
3.60	0.499	-0.021	0.139	
3.63	0.499	-0.006	0.245	
3.67	0.499	-0.000	0.225	
3.70	0.499	0.008	0.194	
3.73	0.499	0.018	0.035	
3.77	0.501	0.007	-0.050	
3.80	0.499	0.007	0.050	
3.83	0.501	0.018	-0.019	
3.87	0.501	0.007	-0.116	
3.90	0.501	0.004	-0.076	
3.93	0.501	0.003	-0.035	
3.97	0.501	0.003	-0.004	
4.00	0.502	0.003	0.009	
4.03	0.501	0.003	0.018	
4.07	0.502	0.004	0.012	
4.10	0.502	0.004	-0.008	
4.13	0.502	0.003	-0.011	
4.17	0.502	0.003	0.001	
4.20	0.502	0.004	0.000	
4.23	0.502	0.003	-0.000	
4.27	0.502	0.003	0.014	
4.30	0.502	0.005	0.014	
4.33	0.503	0.005	-0.003	
4.37	0.503	0.004	-0.023	
4.40	0.503	0.003	-0.029	
4.43	0.503	0.002	-0.012	
4.47	0.503	0.003	-0.019	
4.50	0.503	0.001	-0.036	
4.53	0.503	-0.000	-0.043	
4.57	0.503	-0.002	-0.078	
4.60	0.503	-0.003	-0.168	
4.63	0.503	-0.011	-0.283	
4.67	0.503	-0.030	-0.163	
4.70	0.501	-0.030	0.176	
4.73	0.500	-0.012	0.364	
4.77	0.500	0.001	0.338	
4.80	0.500	0.011	0.220	
4.83	0.501	0.021	-0.067	
4.87	0.502	0.013	-0.461	
4.90	0.503	-0.024	-0.425	
4.93	0.500	-0.033	0.075	
4.97	0.499	-0.008	0.305	
5.00	0.500	0.002	0.146	
5.03	0.500	-0.002	0.033	
5.07	0.499	-0.000	0.028	
5.10	0.500	0.001	0.010	
5.13	0.500	0.000	-0.004	
5.17	0.500	0.000	-0.008	
5.20	0.500	-0.000	-0.009	
5.23	0.500	-0.000	-0.015	
5.27	0.500	-0.001	-0.023	
