Vps(V) Vmm(V) I(A)
0.2 0.139 0.258
0.4 0.295 0.561
0.6 0.349 0.646
0.8 0.493 0.863
1.0 0.673 1.067
1.2 0.803 1.173
1.4 0.991 1.292
1.6 1.186 1.389
1.8 1.331 1.439
2.0 1.558 1.557
2.2 1.732 1.628
2.4 1.916 1.708
2.6 2.041 1.760
2.8 2.254 1.849
3.0 2.460 1.933
3.2 2.652 2.010
3.4 2.728 2.084
3.6 2.961 2.174
3.8 3.155 2.248
4.0 3.255 2.284
4.2 3.450 2.356
4.4 3.652 2.428
4.6 3.837 2.497
4.8 4.032 2.564
5.0 4.162 2.609
5.2 4.373 2.679
5.4 4.563 2.742
5.6 4.843 2.834
5.8 5.094 2.907
6.0 5.242 2.954
6.2 5.427 3.013
6.4 5.580 3.055
6.6 5.790 3.121
6.8 5.965 3.171
7.0 6.134 3.222
7.2 6.367 3.291
7.4 6.555 3.343
7.6 6.76 3.412
7.8 6.95 3.462
8.0 7.20 3.530
8.2 7.35 3.574
8.4 7.57 3.633
8.6 7.69 3.666
8.8 7.90 3.720
9.0 8.03 3.753
9.2 8.21 3.799
9.4 8.40 3.849
9.6 8.64 3.908
9.9 8.90 3.974
10.1 9.06 4.012
10.2 9.23 4.055
10.4 9.40 4.094
10.7 9.69 4.164
10.8 9.73 4.173
11.0 10.00 4.23
11.2 10.28 4.30
11.6 10.57 4.36
11.8 10.80 4.41
12.0 11.00 4.46
13.0 11.99 4.67
