Vernier Format 2
0.7.txt 11/18/113 3:13:52
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.313	0.000	-0.003	
0.03	0.313	0.000	-0.010	
0.07	0.313	-0.000	-0.017	
0.10	0.313	-0.001	-0.024	
0.13	0.313	-0.003	0.001	
0.17	0.312	-0.002	0.048	
0.20	0.312	0.001	0.058	
0.23	0.312	0.003	0.046	
0.27	0.313	0.005	0.023	
0.30	0.313	0.005	-0.009	
0.33	0.313	0.004	-0.036	
0.37	0.313	0.001	-0.031	
0.40	0.313	0.001	0.004	
0.43	0.313	0.002	0.025	
0.47	0.313	0.003	0.029	
0.50	0.313	0.005	0.014	
0.53	0.314	0.005	-0.019	
0.57	0.314	0.003	-0.050	
0.60	0.314	-0.000	-0.033	
0.63	0.314	-0.000	0.029	
0.67	0.314	0.003	0.043	
0.70	0.314	0.004	0.011	
0.73	0.314	0.003	-0.012	
0.77	0.314	0.003	-0.023	
0.80	0.314	0.003	-0.050	
0.83	0.314	-0.001	-0.051	
0.87	0.314	-0.003	0.003	
0.90	0.314	-0.000	0.040	
0.93	0.314	0.002	0.029	
0.97	0.314	0.002	-0.001	
1.00	0.314	0.001	-0.019	
1.03	0.314	0.001	-0.035	
1.07	0.314	-0.002	-0.037	
1.10	0.314	-0.003	0.003	
1.13	0.314	-0.001	0.025	
1.17	0.314	-0.000	0.014	
1.20	0.314	0.000	-0.005	
1.23	0.314	-0.000	-0.030	
1.27	0.314	-0.002	-0.055	
1.30	0.314	-0.006	-0.037	
1.33	0.314	-0.006	0.022	
1.37	0.314	-0.002	0.035	
1.40	0.314	-0.002	0.014	
1.43	0.313	-0.002	0.000	
1.47	0.313	-0.002	-0.029	
1.50	0.313	-0.004	-0.055	
1.53	0.313	-0.007	-0.022	
1.57	0.313	-0.006	0.041	
1.60	0.313	-0.002	0.047	
1.63	0.313	-0.002	0.027	
1.67	0.312	-0.002	0.026	
1.70	0.312	-0.000	0.019	
1.73	0.312	0.001	-0.009	
1.77	0.313	-0.002	-0.013	
1.80	0.312	-0.002	0.038	
1.83	0.312	0.002	0.070	
1.87	0.312	0.004	0.049	
1.90	0.313	0.005	0.015	
1.93	0.313	0.005	-0.010	
1.97	0.313	0.004	-0.023	
2.00	0.313	0.002	0.001	
2.03	0.313	0.003	0.047	
2.07	0.313	0.007	0.053	
2.10	0.314	0.008	0.030	
2.13	0.314	0.009	-0.011	
2.17	0.314	0.007	-0.056	
2.20	0.314	0.005	-0.076	
2.23	0.315	0.001	-0.058	
2.27	0.314	-0.001	-0.006	
2.30	0.314	0.002	0.022	
2.33	0.315	0.002	0.006	
2.37	0.315	0.002	-0.027	
2.40	0.315	0.001	-0.071	
2.43	0.315	-0.003	-0.091	
2.47	0.315	-0.007	-0.044	
2.50	0.314	-0.007	0.023	
2.53	0.314	-0.004	0.038	
2.57	0.314	-0.003	0.015	
2.60	0.314	-0.003	-0.011	
2.63	0.314	-0.004	-0.022	
2.67	0.314	-0.004	-0.031	
2.70	0.314	-0.007	-0.021	
2.73	0.313	-0.008	0.036	
2.77	0.313	-0.004	0.070	
2.80	0.313	-0.001	0.050	
2.83	0.313	-0.000	0.019	
2.87	0.313	-0.000	-0.003	
2.90	0.313	-0.001	-0.013	
2.93	0.313	-0.002	0.001	
2.97	0.313	-0.001	0.034	
3.00	0.313	0.001	0.043	
3.03	0.313	0.002	0.027	
3.07	0.313	0.003	0.008	
3.10	0.313	0.004	-0.026	
3.13	0.313	0.001	-0.057	
3.17	0.313	-0.002	-0.028	
3.20	0.313	-0.002	0.033	
3.23	0.313	0.001	0.049	
3.27	0.313	0.003	0.033	
3.30	0.313	0.004	0.000	
3.33	0.313	0.003	-0.033	
3.37	0.313	0.001	-0.049	
3.40	0.314	-0.002	-0.033	
3.43	0.313	-0.002	0.028	
3.47	0.313	0.001	0.057	
3.50	0.313	0.004	0.027	
3.53	0.314	0.003	-0.007	
3.57	0.314	0.002	-0.022	
3.60	0.314	0.002	-0.028	
3.63	0.314	-0.001	-0.000	
3.67	0.314	0.001	0.044	
3.70	0.314	0.004	0.046	
3.73	0.314	0.005	0.019	
3.77	0.314	0.005	-0.010	
3.80	0.314	0.004	-0.041	
3.83	0.314	0.002	-0.058	
3.87	0.314	-0.001	-0.034	
3.90	0.314	-0.001	0.013	
3.93	0.314	0.001	0.023	
3.97	0.314	0.002	-0.004	
4.00	0.314	0.001	-0.027	
4.03	0.314	-0.000	-0.045	
4.07	0.314	-0.002	-0.069	
4.10	0.314	-0.006	-0.056	
4.13	0.314	-0.008	0.007	
4.17	0.314	-0.004	0.035	
4.20	0.314	-0.003	0.014	
4.23	0.314	-0.004	-0.001	
4.27	0.313	-0.003	-0.018	
4.30	0.313	-0.004	-0.046	
4.33	0.313	-0.008	-0.026	
4.37	0.313	-0.008	0.040	
4.40	0.312	-0.004	0.066	
4.43	0.312	-0.002	0.035	
4.47	0.312	-0.002	0.009	
4.50	0.312	-0.002	0.008	
4.53	0.312	-0.001	0.006	
4.57	0.312	-0.002	0.016	
4.60	0.312	-0.001	0.052	
4.63	0.312	0.002	0.072	
4.67	0.312	0.005	0.055	
4.70	0.312	0.007	0.014	
4.73	0.313	0.006	-0.026	
4.77	0.313	0.003	-0.010	
4.80	0.313	0.004	0.041	
4.83	0.313	0.008	0.036	
4.87	0.314	0.007	0.000	
4.90	0.314	0.006	-0.011	
4.93	0.314	0.007	-0.027	
4.97	0.314	0.006	-0.063	
5.00	0.314	0.001	-0.063	
5.03	0.314	-0.000	-0.011	
5.07	0.314	0.002	0.019	
5.10	0.314	0.002	0.006	
5.13	0.314	0.002	-0.024	
5.17	0.315	0.001	-0.064	
5.20	0.315	-0.003	-0.080	
5.23	0.314	-0.006	-0.044	
5.27	0.314	-0.006	0.014	
